gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3089957515	fb390f93-aacc-48be-b2fc-8f2b1d9c72b9	807_521	Animalia	Chordata	Mammalia	Cetacea	Physeteridae	Physeter	Physeter macrocephalus		SPECIES	Physeter macrocephalus Linnaeus, 1758	Physeter macrocephalus	Linnaeus, 1758	ES			PRESENT	2	67b2263f-6990-4d9d-b32b-20aa72ef4fbc	39.029773	3.305989	0.11	1.0E-6					2005-07-19T18:19:00	19	7	2005	8123917	8123917	HUMAN_OBSERVATION	SMRU	807	807_521	807_521		2005-07-19T18:19:00	CC_BY_NC_4_0					2023-01-25T12:51:05.541Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
3089957514	fb390f93-aacc-48be-b2fc-8f2b1d9c72b9	807_764	Animalia	Chordata	Mammalia	Cetacea	Physeteridae	Physeter	Physeter macrocephalus		SPECIES	Physeter macrocephalus Linnaeus, 1758	Physeter macrocephalus	Linnaeus, 1758	ES			PRESENT	1	67b2263f-6990-4d9d-b32b-20aa72ef4fbc	38.773903	2.665833	0.11	1.0E-6					2007-07-21T09:33:00	21	7	2007	8123917	8123917	HUMAN_OBSERVATION	SMRU	807	807_764	807_764		2007-07-21T09:33:00	CC_BY_NC_4_0					2023-01-25T12:51:05.541Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
3089957513	fb390f93-aacc-48be-b2fc-8f2b1d9c72b9	807_520	Animalia	Chordata	Mammalia	Cetacea	Physeteridae	Physeter	Physeter macrocephalus		SPECIES	Physeter macrocephalus Linnaeus, 1758	Physeter macrocephalus	Linnaeus, 1758	ES			PRESENT	2	67b2263f-6990-4d9d-b32b-20aa72ef4fbc	39.035416	3.30806	0.11	1.0E-6					2005-07-19T17:59:00	19	7	2005	8123917	8123917	HUMAN_OBSERVATION	SMRU	807	807_520	807_520		2005-07-19T17:59:00	CC_BY_NC_4_0					2023-01-25T12:51:05.540Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
3089957512	fb390f93-aacc-48be-b2fc-8f2b1d9c72b9	807_763	Animalia	Chordata	Mammalia	Cetacea	Physeteridae	Physeter	Physeter macrocephalus		SPECIES	Physeter macrocephalus Linnaeus, 1758	Physeter macrocephalus	Linnaeus, 1758	ES			PRESENT	1	67b2263f-6990-4d9d-b32b-20aa72ef4fbc	38.774845	2.676737	0.11	1.0E-6					2007-07-21T09:15:00	21	7	2007	8123917	8123917	HUMAN_OBSERVATION	SMRU	807	807_763	807_763		2007-07-21T09:15:00	CC_BY_NC_4_0					2023-01-25T12:51:05.541Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
3089957511	fb390f93-aacc-48be-b2fc-8f2b1d9c72b9	807_762	Animalia	Chordata	Mammalia	Cetacea	Physeteridae	Physeter	Physeter macrocephalus		SPECIES	Physeter macrocephalus Linnaeus, 1758	Physeter macrocephalus	Linnaeus, 1758	ES			PRESENT	1	67b2263f-6990-4d9d-b32b-20aa72ef4fbc	38.764629	2.663662	0.11	1.0E-6					2007-07-21T09:00:00	21	7	2007	8123917	8123917	HUMAN_OBSERVATION	SMRU	807	807_762	807_762		2007-07-21T09:00:00	CC_BY_NC_4_0					2023-01-25T12:51:05.540Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
3089957510	fb390f93-aacc-48be-b2fc-8f2b1d9c72b9	807_761	Animalia	Chordata	Mammalia	Cetacea	Physeteridae	Physeter	Physeter macrocephalus		SPECIES	Physeter macrocephalus Linnaeus, 1758	Physeter macrocephalus	Linnaeus, 1758	ES			PRESENT	1	67b2263f-6990-4d9d-b32b-20aa72ef4fbc	38.855242	2.772052	0.11	1.0E-6					2006-07-21T00:54:00	21	7	2006	8123917	8123917	HUMAN_OBSERVATION	SMRU	807	807_761	807_761		2006-07-21T00:54:00	CC_BY_NC_4_0					2023-01-25T12:51:05.540Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
3089957509	fb390f93-aacc-48be-b2fc-8f2b1d9c72b9	807_760	Animalia	Chordata	Mammalia	Cetacea	Physeteridae	Physeter	Physeter macrocephalus		SPECIES	Physeter macrocephalus Linnaeus, 1758	Physeter macrocephalus	Linnaeus, 1758	ES			PRESENT	1	67b2263f-6990-4d9d-b32b-20aa72ef4fbc	38.856846	2.772042	0.11	1.0E-6					2006-07-21T00:49:00	21	7	2006	8123917	8123917	HUMAN_OBSERVATION	SMRU	807	807_760	807_760		2006-07-21T00:49:00	CC_BY_NC_4_0					2023-01-25T12:51:05.540Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
3089957508	fb390f93-aacc-48be-b2fc-8f2b1d9c72b9	807_529	Animalia	Chordata	Mammalia	Cetacea	Physeteridae	Physeter	Physeter macrocephalus		SPECIES	Physeter macrocephalus Linnaeus, 1758	Physeter macrocephalus	Linnaeus, 1758	ES			PRESENT	2	67b2263f-6990-4d9d-b32b-20aa72ef4fbc	39.02649	3.277064	0.11	1.0E-6					2005-07-19T20:59:00	19	7	2005	8123917	8123917	HUMAN_OBSERVATION	SMRU	807	807_529	807_529		2005-07-19T20:59:00	CC_BY_NC_4_0					2023-01-25T12:51:05.540Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
3089957507	fb390f93-aacc-48be-b2fc-8f2b1d9c72b9	807_528	Animalia	Chordata	Mammalia	Cetacea	Physeteridae	Physeter	Physeter macrocephalus		SPECIES	Physeter macrocephalus Linnaeus, 1758	Physeter macrocephalus	Linnaeus, 1758	ES			PRESENT	2	67b2263f-6990-4d9d-b32b-20aa72ef4fbc	39.032439	3.281415	0.11	1.0E-6					2005-07-19T20:39:00	19	7	2005	8123917	8123917	HUMAN_OBSERVATION	SMRU	807	807_528	807_528		2005-07-19T20:39:00	CC_BY_NC_4_0					2023-01-25T12:51:05.540Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
3089957506	fb390f93-aacc-48be-b2fc-8f2b1d9c72b9	807_527	Animalia	Chordata	Mammalia	Cetacea	Physeteridae	Physeter	Physeter macrocephalus		SPECIES	Physeter macrocephalus Linnaeus, 1758	Physeter macrocephalus	Linnaeus, 1758	ES			PRESENT	2	67b2263f-6990-4d9d-b32b-20aa72ef4fbc	39.030588	3.292712	0.11	1.0E-6					2005-07-19T20:19:00	19	7	2005	8123917	8123917	HUMAN_OBSERVATION	SMRU	807	807_527	807_527		2005-07-19T20:19:00	CC_BY_NC_4_0					2023-01-25T12:51:05.540Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
